timestamp,value
1470990900,0.0833942067571
1470991200,0.0754237405898
1470991500,0.07589259154080001
1470991800,0.0677970984533
1470992100,0.0670156802016
1470992400,0.0702663801287
1470992700,0.07129785222089999
1470993000,0.0606705639979
1470993300,0.0606705639979
1470993600,0.062108373581
1470993900,0.062108373581
1470994200,0.062420940881599996
1470994500,0.0637024668144
1470994800,0.0666093427107
1470995100,0.0701726099384
1470995400,0.0795183722287
1470995700,0.08498829999060001
1470996000,0.09567810167369999
1470996300,0.110243737885
1470996600,0.11158777727800001
1470996900,0.128778978815
1470997200,0.14178177852399998
1470997500,0.165255582805
1470997800,0.18629136214000008
1470998100,0.20445152230900002
1470998400,0.220361197914
1470998700,0.24614800022
1470999000,0.275779380324
1470999300,0.31069314781
1470999600,0.352983503591
1470999900,0.39049157967299997
1471000200,0.434313515228
1471000500,0.487512469803
1471000800,0.52770862467
1471001100,0.571936897716
1471001400,0.62000974856
1471001700,0.666457249441
1471002000,0.71687435504
1471002300,0.765666110676
1471002600,0.815114257643
1471002900,0.8541226567669999
1471003200,0.897663281752
1471003500,0.9353276414830001
1471003800,0.972398123344
1471004100,1.01484476278
1471004400,1.04675788417
1471004700,1.08792299767
1471005000,1.11095920773
1471005300,1.1334015399200001
1471005600,1.15446857599
1471005900,1.17065956216
1471006200,1.1920391655299998
1471006500,1.21863864282
1471006800,1.227765608
1471007100,1.23582984435
1471007400,1.2272342435899999
1471007700,1.2218268292799999
1471008000,1.21570051019
1471008300,1.20407300661
1471008600,1.18553776568
1471008900,1.17081584581
1471009200,1.1508115385700002
1471009500,1.12471216896
1471009800,1.10348884925
1471010100,1.08185919204
1471010400,1.04607023611
1471010700,1.00749943121
1471011000,0.957988770783
1471011300,0.91510453713
1471011600,0.8873173040989999
1471011900,0.846589784821
1471012200,0.802861619456
1471012500,0.755570186864
1471012800,0.7115607109280001
1471013100,0.659580768826
1471013400,0.606538097901
1471013700,0.559215408578
1471014000,0.502203132935
1471014300,0.449973136992
1471014600,0.390554093133
1471014900,0.325290040751
1471015200,0.272184856366
1471015500,0.226487517007
1471015800,0.16756858082999998
1471016100,0.115119787776
1471016400,0.0527626112907
1471016700,-0.00356201629135
1471017000,-0.0517911507859
1471017300,-0.10533392939200001
1471017600,-0.153781860997
1471017900,-0.206605734811
1471018200,-0.266337345971
1471018500,-0.321786785111
1471018800,-0.370047176336
1471019100,-0.391926887383
1471019400,-0.561682188381
1471019700,-0.604410138384
1471020000,-0.6244457023569999
1471020300,-0.640855485643
1471020600,-0.663141534181
1471020900,-0.700774637182
1471021200,-0.713152302289
1471021500,-0.733625460484
1471021800,-0.758693357998
1471022100,-0.780760609426
1471022400,-0.799452134006
1471022700,-0.816549565353
1471023000,-0.831427768866
1471023300,-0.849087821354
1471023600,-0.8638097412160001
1471023900,-0.900661425966
1471024200,-0.9264794850020001
1471024500,-0.9370442597640001
1471024800,-0.956986053548
1471025100,-0.9648940062549999
1471025400,-0.975208727177
1471025700,-0.989555566278
1471026000,-0.995775655562
1471026300,-1.0054964986100001
1471026600,-1.01740531277
1471026900,-1.02903281635
1471027200,-1.03725333636
1471027500,-1.04300457469
